ID,VISITA,MES,FECHA,SATISFACCION_INFOR,SATISFACCION_RECORRIDO,SATISFACCION_GUIA,SATISFACCION_GLOBAL,LO_MEJOR,LO_PEOR,OPINION,SUGERENCIAS,SATISFACCION_PROMEDIO
12,"LEYENDAS, CASAS ENCANTADAS Y LUCES EN  NAVIDAD CON ILSE",DICIEMBRE,2023-12-17T00:00:00.000+01:00,10,10,10,10,7 chimeneas,Nada,Mejor de lo que esperaba,"Nada, todo perfecto",10.0
19,MADRID EN FEMENINO,AGOSTO,2023-08-12T00:00:00.000+02:00,8,8,9,9,Al restaurante Sobrinos de Botín,"El mapa final, hacia muchísimo sol",Mejor de lo que esperaba,Combinar mas las explicaciones de las mujeres con las explicaciones sobre la historia y tmb explicar las la conexión de las mujeres con los lugares que se visitan,8.333333333333334
3,MADRID EN FEMENINO,SEPTIEMBRE,2023-09-02T00:00:00.000+02:00,9,10,10,10,Amabilidad y conocimiento de la guía turística,Sin comentarios,Mejor de lo que esperaba,Más visitas y en distintos horarios,9.666666666666666
19,LA LATINA Y EL MUSEO DE LOS ORIGENES,SEPTIEMBRE,2023-09-16T00:00:00.000+02:00,10,10,10,10,Beatriz Galindo latina,Nada,Mejor de lo que esperaba,Me han gustado mucho,10.0
35,LA LATINA Y EL MUSEO DE LOS ORIGENES,OCTUBRE,2023-10-22T00:00:00.000+02:00,7,8,8,8,Bien,Bien,Mejor de lo que esperaba,Bien,7.666666666666667
20,MADRID MONUMENTAL,JULIO,2023-07-28T00:00:00.000+02:00,10,9,9,9,Calle Alcalá,Nada,Como esperaba,,9.333333333333334
15,LA HISTORIA IMPRESCINDIBLE DE MADRID,AGOSTO,2023-08-11T00:00:00.000+02:00,10,10,10,10,,Sin comentarios,Como esperaba,Amplia nuevas visitas de historia de Madrid,10.0
20,TRADICIONES NAVIDEÑAS,DICIEMBRE,2023-12-30T00:00:00.000+01:00,8,10,10,10,Descubrir  datos nuevos sobre las tradiciones,Nada,Mejor de lo que esperaba,Ninguna,9.333333333333334
19,MUJERES QUE HAN HECHO HISTORIA EN MADRID,OCTUBRE,2023-10-13T00:00:00.000+02:00,10,10,10,10,"Destacar la labor del guía Cristian, haciendo de la actividad algo muy interesante y ameno con sus explicaciones y su trato para con nosotros.",Nada,Mejor de lo que esperaba,Nos encantaría repetir con XXX en alguna otra visita interesante sobre la historia de Madrid,10.0
3,MADRID HISTÓRICO,MARZO,2023-03-03T00:00:00.000+01:00,10,10,10,10,El conjunto está bien pensado y explicado,Sin comentarios,Mejor de lo que esperaba,,10.0
